epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.827,1.82464,1.89725,1.0256,0.72288,0.62433,0.69359,0.31488,1.77824,1.16025,0.98874,0.00332801,0.00332801,0.00332801
2,284.475,1.7983,1.22886,1.01443,0.7323,0.64772,0.7092,0.31688,1.78751,1.07874,1.01138,0.00659539,0.00659539,0.00659539
3,422.748,1.82409,1.16679,1.02515,0.73186,0.63462,0.71104,0.33513,1.76009,1.05601,1.01115,0.00979678,0.00979678,0.00979678
4,561.085,1.82048,1.13772,1.02373,0.75671,0.65871,0.73658,0.35802,1.71284,1.03873,1.00522,0.009703,0.009703,0.009703
5,698.417,1.76735,1.07859,1.01423,0.72915,0.62979,0.70264,0.33139,1.81245,1.09061,1.01938,0.009604,0.009604,0.009604
6,834.905,1.73147,1.0341,1.00818,0.76528,0.68381,0.75708,0.37459,1.6851,0.98044,0.99215,0.009505,0.009505,0.009505
7,971.408,1.7079,1.00577,1.00177,0.78085,0.68861,0.77476,0.39153,1.64342,0.94722,0.99203,0.009406,0.009406,0.009406
8,1107.94,1.68484,0.98668,0.99917,0.78401,0.68703,0.77254,0.39602,1.63054,0.95458,0.97837,0.009307,0.009307,0.009307
9,1244.59,1.66425,0.97458,0.99142,0.80127,0.7139,0.80037,0.42029,1.5661,0.8896,0.96573,0.009208,0.009208,0.009208
10,1380.68,1.63229,0.94679,0.98317,0.79355,0.69729,0.77883,0.3942,1.64522,0.92309,0.98867,0.009109,0.009109,0.009109
11,1520.23,1.62415,0.93496,0.98253,0.80279,0.7045,0.79651,0.42118,1.55296,0.87503,0.96464,0.00901,0.00901,0.00901
12,1657.57,1.60265,0.92411,0.97814,0.80147,0.72266,0.80337,0.4273,1.55146,0.8738,0.96077,0.008911,0.008911,0.008911
13,1798.12,1.58598,0.91219,0.97282,0.80614,0.70714,0.8016,0.42659,1.54766,0.87358,0.96192,0.008812,0.008812,0.008812
14,1938.51,1.57326,0.89636,0.96674,0.82403,0.74655,0.83474,0.45366,1.48707,0.80861,0.95055,0.008713,0.008713,0.008713
15,2076.18,1.56744,0.88523,0.9672,0.81835,0.74121,0.8277,0.4484,1.50823,0.8289,0.95369,0.008614,0.008614,0.008614
16,2213.95,1.54947,0.87486,0.96373,0.83856,0.74025,0.83812,0.45674,1.47683,0.8081,0.94621,0.008515,0.008515,0.008515
17,2352.29,1.54129,0.87457,0.96133,0.82719,0.75928,0.84399,0.46471,1.46773,0.79226,0.94588,0.008416,0.008416,0.008416
18,2491.3,1.53108,0.85934,0.96081,0.83588,0.75197,0.84696,0.47042,1.44869,0.78245,0.93987,0.008317,0.008317,0.008317
19,2630.44,1.5206,0.8494,0.95694,0.82704,0.76924,0.84862,0.46571,1.44548,0.77953,0.93761,0.008218,0.008218,0.008218
20,2767.39,1.52773,0.84952,0.95727,0.81958,0.76486,0.84386,0.47035,1.43736,0.77301,0.93812,0.008119,0.008119,0.008119
21,2904.61,1.51615,0.83606,0.95558,0.82199,0.7727,0.84882,0.4708,1.45089,0.76015,0.94095,0.00802,0.00802,0.00802
22,3042.3,1.51053,0.83675,0.95365,0.83259,0.77754,0.85723,0.46731,1.4639,0.76067,0.93742,0.007921,0.007921,0.007921
23,3180.64,1.50126,0.83116,0.95298,0.84359,0.76869,0.85703,0.47873,1.4295,0.74742,0.93603,0.007822,0.007822,0.007822
24,3320.55,1.49335,0.82899,0.94751,0.84564,0.78131,0.86174,0.48075,1.42466,0.74619,0.93344,0.007723,0.007723,0.007723
25,3465.43,1.49875,0.82303,0.94935,0.8408,0.77981,0.85918,0.47944,1.42457,0.74345,0.933,0.007624,0.007624,0.007624
26,3618.01,1.49363,0.82436,0.94937,0.86251,0.76777,0.86538,0.48672,1.41156,0.73563,0.93052,0.007525,0.007525,0.007525
27,3772.83,1.48279,0.81294,0.94643,0.85769,0.7822,0.86945,0.48744,1.41431,0.72832,0.92856,0.007426,0.007426,0.007426
28,3931.69,1.47585,0.80757,0.94691,0.8541,0.78578,0.86778,0.49435,1.39583,0.72179,0.92454,0.007327,0.007327,0.007327
29,4092.35,1.47865,0.81046,0.94284,0.84865,0.79599,0.87305,0.4905,1.40786,0.72038,0.92878,0.007228,0.007228,0.007228
30,4251.88,1.46817,0.79768,0.94461,0.84716,0.79158,0.87024,0.49406,1.3884,0.71345,0.92423,0.007129,0.007129,0.007129
31,4411.94,1.47054,0.80099,0.94243,0.86103,0.79037,0.87684,0.497,1.38762,0.71142,0.92405,0.00703,0.00703,0.00703
32,4571.64,1.44813,0.78549,0.93875,0.85709,0.79165,0.87479,0.49647,1.38944,0.70589,0.92386,0.006931,0.006931,0.006931
33,4730.31,1.45968,0.79143,0.94211,0.85015,0.79836,0.87628,0.5,1.38178,0.70621,0.92377,0.006832,0.006832,0.006832
34,4891.64,1.44501,0.78069,0.93581,0.85634,0.79601,0.87641,0.50549,1.37368,0.69728,0.9228,0.006733,0.006733,0.006733
