epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,309.345,1.16862,0.56784,0.89079,0.8972,0.8588,0.92463,0.56728,1.24543,0.55996,0.90257,0.002872,0.002872,0.002872
74,618.197,1.16796,0.57312,0.88737,0.9005,0.85778,0.92419,0.56808,1.24612,0.55857,0.90293,0.002773,0.002773,0.002773
75,926.712,1.16352,0.56992,0.88677,0.89902,0.86023,0.92476,0.56819,1.2459,0.55769,0.90317,0.002674,0.002674,0.002674
76,1235.44,1.16621,0.56981,0.88907,0.89655,0.86044,0.9238,0.56747,1.2455,0.55637,0.90266,0.002575,0.002575,0.002575
77,1544.46,1.16035,0.56633,0.88779,0.89689,0.86251,0.92461,0.5677,1.2453,0.55609,0.90286,0.002476,0.002476,0.002476
78,1853.14,1.15772,0.56547,0.88661,0.89966,0.8593,0.92483,0.56854,1.245,0.55547,0.90281,0.002377,0.002377,0.002377
79,2161.77,1.14779,0.55913,0.88729,0.89933,0.86059,0.92531,0.56875,1.24526,0.55466,0.90308,0.002278,0.002278,0.002278
80,2470.94,1.14776,0.55932,0.88615,0.89906,0.86034,0.92513,0.56884,1.2449,0.55453,0.903,0.002179,0.002179,0.002179
81,2780.03,1.14067,0.55296,0.88405,0.90122,0.85955,0.92542,0.5692,1.24384,0.55367,0.90279,0.00208,0.00208,0.00208
82,3089.37,1.14128,0.55423,0.88439,0.90136,0.86036,0.92575,0.56924,1.24381,0.55414,0.90252,0.001981,0.001981,0.001981
83,3398.76,1.14822,0.55857,0.88621,0.89889,0.86271,0.92575,0.56961,1.24443,0.55367,0.90256,0.001882,0.001882,0.001882
84,3708.22,1.16165,0.56311,0.8874,0.89874,0.86197,0.92557,0.56917,1.2442,0.55363,0.90243,0.001783,0.001783,0.001783
85,4017.24,1.17691,0.56478,0.89087,0.89797,0.86251,0.92561,0.5692,1.24329,0.55323,0.90233,0.001684,0.001684,0.001684
86,4326.22,1.17077,0.56577,0.89057,0.89663,0.86419,0.92578,0.56976,1.24324,0.55303,0.90235,0.001585,0.001585,0.001585
87,4635.23,1.18685,0.56752,0.89331,0.89653,0.86462,0.92602,0.57063,1.24199,0.55246,0.90228,0.001486,0.001486,0.001486
88,4944.4,1.17521,0.56473,0.89021,0.89503,0.86596,0.92657,0.5707,1.24133,0.55179,0.90214,0.001387,0.001387,0.001387
89,5253.83,1.17201,0.56218,0.89152,0.89443,0.86735,0.92677,0.57136,1.23942,0.55123,0.90175,0.001288,0.001288,0.001288
90,5562.66,1.16829,0.5591,0.88931,0.89666,0.86636,0.92642,0.57143,1.23906,0.55077,0.90165,0.001189,0.001189,0.001189
91,5872.19,1.16398,0.55399,0.88872,0.9004,0.86488,0.92684,0.57133,1.23984,0.55043,0.90166,0.00109,0.00109,0.00109
92,6180.75,1.15806,0.54626,0.88992,0.89873,0.86577,0.92675,0.5716,1.23967,0.55001,0.90168,0.000991,0.000991,0.000991
93,6489.53,1.14672,0.53874,0.88916,0.89929,0.86705,0.92674,0.57197,1.23915,0.54957,0.90166,0.000892,0.000892,0.000892
94,6798.18,1.13819,0.53507,0.88553,0.90024,0.86725,0.92738,0.57181,1.23881,0.54894,0.90161,0.000793,0.000793,0.000793
95,7106.83,1.13763,0.53295,0.88732,0.90193,0.86587,0.9273,0.57202,1.2385,0.54905,0.90146,0.000694,0.000694,0.000694
96,7416.04,1.1267,0.52867,0.88551,0.90169,0.86631,0.92732,0.57205,1.23851,0.54917,0.9015,0.000595,0.000595,0.000595
97,7724.93,1.12212,0.52511,0.88438,0.90293,0.86577,0.92765,0.57225,1.23865,0.54894,0.9014,0.000496,0.000496,0.000496
98,8033.5,1.11354,0.52039,0.88212,0.90356,0.86508,0.92773,0.57252,1.2383,0.54863,0.90139,0.000397,0.000397,0.000397
99,8342.54,1.11476,0.52002,0.88358,0.9031,0.86528,0.92781,0.57308,1.23859,0.54813,0.9014,0.000298,0.000298,0.000298
100,8650.9,1.10674,0.51444,0.8814,0.90307,0.86527,0.92747,0.57284,1.2387,0.54825,0.90133,0.000199,0.000199,0.000199
